"Rank","Title","Description","Runtime","Genre","Metascore"
1,"Отряд самоубийц","
    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.","123 min","
Action, Adventure, Fantasy            ","
40        
        Metascore
            "
2,"Изгой-один. Звёздные войны: Истории","
    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.","133 min","
Action, Adventure, Sci-Fi            ","
65        
        Metascore
            "
3,"Стартрек: Бесконечность","
    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.","122 min","
Action, Adventure, Sci-Fi            ","
68        
        Metascore
            "
4,"По соображениям совести","
    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.","139 min","
Biography, Drama, History            ","
71        
        Metascore
            "
5,"Доктор Стрэндж","
    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts.","115 min","
Action, Adventure, Fantasy            ","
72        
        Metascore
            "
6,"Ла-Ла Ленд","
    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","128 min","
Comedy, Drama, Music            ","
93        
        Metascore
            "
7,"Зверопой","
    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","108 min","
Animation, Comedy, Family            ","
59        
        Metascore
            "
8,"Дэдпул","
    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","108 min","
Action, Adventure, Comedy            ","
65        
        Metascore
            "
9,"Лунный свет","
    A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","111 min","
Drama            ","
99        
        Metascore
            "
10,"Зверополис","
    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","108 min","
Animation, Adventure, Comedy            ","
78        
        Metascore
            "
11,"Поезд в Пусан","
    While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.","118 min","
Action, Horror, Thriller            ","
72        
        Metascore
            "
12,"Бэтмен против Супермена: На заре справедливости","
    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.","151 min","
Action, Adventure, Sci-Fi            ","
44        
        Metascore
            "
13,"Прибытие","
    A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.","116 min","
Drama, Mystery, Sci-Fi            ","
81        
        Metascore
            "
14,"Моана","
    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","107 min","
Animation, Adventure, Comedy            ","
81        
        Metascore
            "
15,"Под покровом ночи","
    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.","116 min","
Drama, Thriller            ","
67        
        Metascore
            "
16,"Сплит","
    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.","117 min","
Horror, Thriller            ","
62        
        Metascore
            "
17,"Капитан Фантастик","
    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","118 min","
Comedy, Drama            ","
72        
        Metascore
            "
18,"Твое имя","
    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","106 min","
Animation, Drama, Fantasy            ","
79        
        Metascore
            "
19,"Первый мститель: Противостояние","
    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.","147 min","
Action, Adventure, Sci-Fi            ","
75        
        Metascore
            "
20,"Невидимый гость","
    A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defence.","106 min","
Crime, Mystery, Thriller            ",NA
21,"Служанка","
    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","145 min","
Drama, Romance, Thriller            ","
84        
        Metascore
            "
22,"13 часов: Тайные солдаты Бенгази","
    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","144 min","
Action, Drama, History            ","
48        
        Metascore
            "
23,"Тарзан. Легенда","
    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","110 min","
Action, Adventure, Drama            ","
44        
        Metascore
            "
24,"Пассажиры","
    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.","116 min","
Drama, Romance, Sci-Fi            ","
41        
        Metascore
            "
25,"Варкрафт","
    As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war.","123 min","
Action, Adventure, Fantasy            ","
32        
        Metascore
            "
26,"Девушка в поезде","
    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.","112 min","
Crime, Drama, Mystery            ","
48        
        Metascore
            "
27,"Лев","
    A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family.","118 min","
Biography, Drama            ","
69        
        Metascore
            "
28,"Скрытые фигуры","
    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.","127 min","
Biography, Drama, History            ","
74        
        Metascore
            "
29,"Книга джунглей","
    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.","106 min","
Adventure, Drama, Family            ","
77        
        Metascore
            "
30,"Расплата","
    As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","128 min","
Action, Crime, Drama            ","
51        
        Metascore
            "
31,"Инферно","
    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot.","121 min","
Action, Crime, Drama            ","
42        
        Metascore
            "
32,"Славные парни","
    In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","116 min","
Action, Comedy, Crime            ","
70        
        Metascore
            "
33,"Фантастические твари и где они обитают","
    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.","132 min","
Adventure, Family, Fantasy            ","
66        
        Metascore
            "
34,"До встречи с тобой","
    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.","106 min","
Drama, Romance            ","
51        
        Metascore
            "
35,"Боги Египта","
    Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.","127 min","
Action, Adventure, Fantasy            ","
25        
        Metascore
            "
36,"Люди Икс: Апокалипсис","
    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world.","144 min","
Action, Adventure, Sci-Fi            ","
52        
        Metascore
            "
37,"Леди Макбет","
    In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.","89 min","
Drama, Romance            ","
76        
        Metascore
            "
38,"Молчание","
    In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.","161 min","
Drama, History            ","
79        
        Metascore
            "
39,"Манчестер у моря","
    A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.","137 min","
Drama            ","
96        
        Metascore
            "
40,"Великолепная семерка","
    Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.","132 min","
Action, Adventure, Western            ","
54        
        Metascore
            "
41,"Любой ценой","
    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","102 min","
Action, Crime, Drama            ","
88        
        Metascore
            "
42,"Затерянный город Z","
    A true-life drama, centering on British explorer Major Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.","141 min","
Biography, Drama, History            ","
78        
        Metascore
            "
